CMDLINE /Users/mohan/.pyenv/versions/3.11.8/envs/data/bin/python3.11 memory-profiler.py
MEM 0.046875 1726264123.6414
MEM 21.531250 1726264123.7448
MEM 21.843750 1726264123.8499
MEM 22.171875 1726264123.9549
MEM 22.500000 1726264124.0599
MEM 22.812500 1726264124.1650
MEM 23.140625 1726264124.2700
MEM 23.453125 1726264124.3751
MEM 23.734375 1726264124.4801
MEM 24.125000 1726264124.5853
MEM 24.453125 1726264124.6903
MEM 24.750000 1726264124.7954
MEM 25.062500 1726264124.8974
MEM 25.468750 1726264125.0025
MEM 25.734375 1726264125.1076
MEM 26.015625 1726264125.2114
MEM 26.312500 1726264125.3165
MEM 26.656250 1726264125.4211
MEM 26.953125 1726264125.5235
MEM 27.265625 1726264125.6286
MEM 27.593750 1726264125.7336
MEM 27.921875 1726264125.8363
MEM 28.265625 1726264125.9400
MEM 28.593750 1726264126.0450
MEM 28.890625 1726264126.1468
MEM 29.218750 1726264126.2469
MEM 29.515625 1726264126.3470
MEM 29.828125 1726264126.4503
MEM 30.156250 1726264126.5554
MEM 30.484375 1726264126.6604
MEM 30.812500 1726264126.7655
MEM 31.125000 1726264126.8705
MEM 31.468750 1726264126.9756
MEM 31.765625 1726264127.0806
MEM 32.109375 1726264127.1856
MEM 32.437500 1726264127.2895
MEM 32.765625 1726264127.3945
MEM 33.093750 1726264127.4996
MEM 33.421875 1726264127.6046
MEM 33.734375 1726264127.7096
MEM 34.046875 1726264127.8102
MEM 34.390625 1726264127.9152
MEM 34.703125 1726264128.0203
MEM 35.046875 1726264128.1253
MEM 35.375000 1726264128.2303
MEM 35.671875 1726264128.3329
MEM 36.031250 1726264128.4380
MEM 36.359375 1726264128.5430
MEM 36.687500 1726264128.6481
MEM 37.015625 1726264128.7530
MEM 37.312500 1726264128.8563
MEM 37.609375 1726264128.9616
MEM 37.953125 1726264129.0656
MEM 38.265625 1726264129.1706
MEM 38.562500 1726264129.2739
MEM 38.890625 1726264129.3790
MEM 39.203125 1726264129.4835
MEM 39.515625 1726264129.5875
MEM 39.812500 1726264129.6905
MEM 40.140625 1726264129.7956
MEM 40.468750 1726264129.9006
MEM 40.781250 1726264130.0036
MEM 41.109375 1726264130.1086
MEM 41.437500 1726264130.2100
MEM 41.734375 1726264130.3101
MEM 42.062500 1726264130.4151
MEM 42.390625 1726264130.5202
MEM 42.718750 1726264130.6252
MEM 43.046875 1726264130.7303
MEM 43.375000 1726264130.8353
MEM 43.703125 1726264130.9404
MEM 44.015625 1726264131.0455
MEM 44.343750 1726264131.1505
MEM 44.671875 1726264131.2555
MEM 44.968750 1726264131.3606
MEM 45.312500 1726264131.4657
MEM 45.625000 1726264131.5707
MEM 45.937500 1726264131.6758
MEM 46.281250 1726264131.7808
MEM 46.609375 1726264131.8859
MEM 46.921875 1726264131.9909
MEM 47.234375 1726264132.0929
MEM 47.562500 1726264132.1964
MEM 47.890625 1726264132.3003
MEM 48.171875 1726264132.4054
MEM 48.500000 1726264132.5104
MEM 48.828125 1726264132.6155
MEM 49.171875 1726264132.7205
MEM 49.500000 1726264132.8255
MEM 49.796875 1726264132.9294
MEM 50.125000 1726264133.0345
MEM 50.453125 1726264133.1395
MEM 50.781250 1726264133.2445
MEM 51.109375 1726264133.3496
MEM 51.421875 1726264133.4540
MEM 51.734375 1726264133.5591
MEM 52.078125 1726264133.6641
MEM 52.406250 1726264133.7692
MEM 52.718750 1726264133.8724
MEM 53.046875 1726264133.9774
